name,type,category,display_name,visibility,access_mode,description,min,max,inc,enum_values
ChunkModeActive_Reg,IntReg,,ChunkModeActive_Reg,,RW,,,,,
ChunkModeActive_RegAddr,Integer,,ChunkModeActive_RegAddr,,,,,,,
ChunkOffsetX_Reg,IntReg,,ChunkOffsetX_Reg,,RO,,,,,
ChunkOffsetY_Reg,IntReg,,ChunkOffsetY_Reg,,RO,,,,,
ChunkPixelFormat_Reg,IntReg,,ChunkPixelFormat_Reg,,RO,,,,,
ChunkROIPosition_Reg,IntReg,,ChunkROIPosition_Reg,,RO,,,,,
ChunkSelector_Int,Integer,,ChunkSelector_Int,,,,,,,
ChunkTimestamp_Reg,IntReg,,ChunkTimestamp_Reg,,RO,,,,,
ChunkWhiteBalance_Reg,IntReg,,ChunkWhiteBalance_Reg,,RO,,,,,
ChunkWidth_Reg,IntReg,,ChunkWidth_Reg,,RO,,,,,
ClampLevelSave_Reg,IntReg,,ClampLevelSave_Reg,,WO,,,,,
ClampLevelSave_RegAddr,Integer,,ClampLevelSave_RegAddr,,,,,,,
ClampLevelValueALL_Len,IntSwissKnife,,ClampLevelValueALL_Len,,,,,,,
ClampLevelValueALL_RegAddr,Integer,,ClampLevelValueALL_RegAddr,,,,,,,
ClampLevel_Reg,IntReg,,ClampLevel_Reg,,RW,,,,,
ClampLevel_RegAddr,Integer,,ClampLevel_RegAddr,,,,,,,
ColorTransformationEnable_Lock,IntSwissKnife,,ColorTransformationEnable_Lock,,,,,,,
ColorTransformationEnable_Offset,IntSwissKnife,,ColorTransformationEnable_Offset,,,,,,,
ColorTransformationEnable_Reg,IntReg,,ColorTransformationEnable_Reg,,RW,,,,,
ColorTransformationEnable_RegAddr,Integer,,ColorTransformationEnable_RegAddr,,,,,,,
ColorTransformationSelector_Int,Integer,,ColorTransformationSelector_Int,,,,,,,
ColorTransformationValueMaxInq_Float,SwissKnife,,ColorTransformationValueMaxInq_Float,,,,,,,
ColorTransformationValueMaxInq_Reg,IntReg,,ColorTransformationValueMaxInq_Reg,,RO,,,,,
ColorTransformationValueMaxInq_RegAddr,Integer,,ColorTransformationValueMaxInq_RegAddr,,,,,,,
ColorTransformationValueMinInq_Float,SwissKnife,,ColorTransformationValueMinInq_Float,,,,,,,
ColorTransformationValueMinInq_Reg,IntReg,,ColorTransformationValueMinInq_Reg,,RO,,,,,
ColorTransformationValueMinInq_RegAddr,Integer,,ColorTransformationValueMinInq_RegAddr,,,,,,,
ColorTransformationValueSelector_Int,Integer,,ColorTransformationValueSelector_Int,,,,,,,
ColorTransformationValueUnitInq_Reg,IntReg,,ColorTransformationValueUnitInq_Reg,,RO,,,,,
ColorTransformationValueUnitInq_RegAddr,Integer,,ColorTransformationValueUnitInq_RegAddr,,,,,,,
ColorTransformationValue_Float,Converter,,ColorTransformationValue_Float,,,,,,,
ColorTransformationValue_Offset,IntSwissKnife,,ColorTransformationValue_Offset,,,,,,,
